Cocktail Name,Ingredients,Directions,Popularity Rank,Cocktail Image URL,Cocktail Image Path,Ingredient Name,Ingredient Image URL,Ingredient Image Path
A1,"Gin, Grand Marnier, Lemon Juice, Grenadine","Pour all ingredients into a cocktail shaker, mix and serve over ice into a chilled glass.","Pour all ingredients into a cocktail shaker, mix and serve over ice into a chilled glass.",https://www.thecocktaildb.com/images/media/drink/2x8thr1504816928.jpg,/Users/yam/git-projects/pourify/Cocktail_A1.jpg,Gin,https://www.thecocktaildb.com/images/ingredients/gin.png,/Users/yam/git-projects/pourify/Ingredient_Gin.jpg
A1,"Gin, Grand Marnier, Lemon Juice, Grenadine","Pour all ingredients into a cocktail shaker, mix and serve over ice into a chilled glass.","Pour all ingredients into a cocktail shaker, mix and serve over ice into a chilled glass.",https://www.thecocktaildb.com/images/media/drink/2x8thr1504816928.jpg,/Users/yam/git-projects/pourify/Cocktail_A1.jpg,Grand Marnier,https://www.thecocktaildb.com/images/ingredients/grand marnier.png,/Users/yam/git-projects/pourify/Ingredient_Grand Marnier.jpg
A1,"Gin, Grand Marnier, Lemon Juice, Grenadine","Pour all ingredients into a cocktail shaker, mix and serve over ice into a chilled glass.","Pour all ingredients into a cocktail shaker, mix and serve over ice into a chilled glass.",https://www.thecocktaildb.com/images/media/drink/2x8thr1504816928.jpg,/Users/yam/git-projects/pourify/Cocktail_A1.jpg,Lemon Juice,https://www.thecocktaildb.com/images/ingredients/lemon juice.png,/Users/yam/git-projects/pourify/Ingredient_Lemon Juice.jpg
A1,"Gin, Grand Marnier, Lemon Juice, Grenadine","Pour all ingredients into a cocktail shaker, mix and serve over ice into a chilled glass.","Pour all ingredients into a cocktail shaker, mix and serve over ice into a chilled glass.",https://www.thecocktaildb.com/images/media/drink/2x8thr1504816928.jpg,/Users/yam/git-projects/pourify/Cocktail_A1.jpg,Grenadine,https://www.thecocktaildb.com/images/ingredients/grenadine.png,/Users/yam/git-projects/pourify/Ingredient_Grenadine.jpg
ABC,"Amaretto, Baileys irish cream, Cognac",Layered in a shot glass.,Layered in a shot glass.,https://www.thecocktaildb.com/images/media/drink/tqpvqp1472668328.jpg,/Users/yam/git-projects/pourify/Cocktail_ABC.jpg,Amaretto,https://www.thecocktaildb.com/images/ingredients/amaretto.png,/Users/yam/git-projects/pourify/Ingredient_Amaretto.jpg
ABC,"Amaretto, Baileys irish cream, Cognac",Layered in a shot glass.,Layered in a shot glass.,https://www.thecocktaildb.com/images/media/drink/tqpvqp1472668328.jpg,/Users/yam/git-projects/pourify/Cocktail_ABC.jpg,Baileys irish cream,https://www.thecocktaildb.com/images/ingredients/baileys irish cream.png,/Users/yam/git-projects/pourify/Ingredient_Baileys irish cream.jpg
ABC,"Amaretto, Baileys irish cream, Cognac",Layered in a shot glass.,Layered in a shot glass.,https://www.thecocktaildb.com/images/media/drink/tqpvqp1472668328.jpg,/Users/yam/git-projects/pourify/Cocktail_ABC.jpg,Cognac,https://www.thecocktaildb.com/images/ingredients/cognac.png,/Users/yam/git-projects/pourify/Ingredient_Cognac.jpg
Ace,"Gin, Grenadine, Heavy cream, Milk, Egg White",Shake all the ingredients in a cocktail shaker and ice then strain in a cold glass.,Shake all the ingredients in a cocktail shaker and ice then strain in a cold glass.,https://www.thecocktaildb.com/images/media/drink/l3cd7f1504818306.jpg,/Users/yam/git-projects/pourify/Cocktail_Ace.jpg,Gin,https://www.thecocktaildb.com/images/ingredients/gin.png,/Users/yam/git-projects/pourify/Ingredient_Gin.jpg
Ace,"Gin, Grenadine, Heavy cream, Milk, Egg White",Shake all the ingredients in a cocktail shaker and ice then strain in a cold glass.,Shake all the ingredients in a cocktail shaker and ice then strain in a cold glass.,https://www.thecocktaildb.com/images/media/drink/l3cd7f1504818306.jpg,/Users/yam/git-projects/pourify/Cocktail_Ace.jpg,Grenadine,https://www.thecocktaildb.com/images/ingredients/grenadine.png,/Users/yam/git-projects/pourify/Ingredient_Grenadine.jpg
Ace,"Gin, Grenadine, Heavy cream, Milk, Egg White",Shake all the ingredients in a cocktail shaker and ice then strain in a cold glass.,Shake all the ingredients in a cocktail shaker and ice then strain in a cold glass.,https://www.thecocktaildb.com/images/media/drink/l3cd7f1504818306.jpg,/Users/yam/git-projects/pourify/Cocktail_Ace.jpg,Heavy cream,https://www.thecocktaildb.com/images/ingredients/heavy cream.png,/Users/yam/git-projects/pourify/Ingredient_Heavy cream.jpg
Ace,"Gin, Grenadine, Heavy cream, Milk, Egg White",Shake all the ingredients in a cocktail shaker and ice then strain in a cold glass.,Shake all the ingredients in a cocktail shaker and ice then strain in a cold glass.,https://www.thecocktaildb.com/images/media/drink/l3cd7f1504818306.jpg,/Users/yam/git-projects/pourify/Cocktail_Ace.jpg,Milk,https://www.thecocktaildb.com/images/ingredients/milk.png,/Users/yam/git-projects/pourify/Ingredient_Milk.jpg
Ace,"Gin, Grenadine, Heavy cream, Milk, Egg White",Shake all the ingredients in a cocktail shaker and ice then strain in a cold glass.,Shake all the ingredients in a cocktail shaker and ice then strain in a cold glass.,https://www.thecocktaildb.com/images/media/drink/l3cd7f1504818306.jpg,/Users/yam/git-projects/pourify/Cocktail_Ace.jpg,Egg White,https://www.thecocktaildb.com/images/ingredients/egg white.png,/Users/yam/git-projects/pourify/Ingredient_Egg White.jpg
